species_code,alt_full_spp_code,n_locations,scientific_name,american_english_name,taxonomy_version,taxonomic_sort_order,image_url,small_image_url
loon,NA,1,Gavia sp.,loon sp.,2022,6723,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/342974481/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/342974481/320
woosto,NA,87,Mycteria americana,Wood Stork,2022,7075,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304101231/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304101231/320
magfri,NA,2,Fregata magnificens,Magnificent Frigatebird,2022,7089,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304380021/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304380021/320
norgan,NA,1,Morus bassanus,Northern Gannet,2022,7125,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/66025421/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/66025421/320
anhing,NA,88,Anhinga anhinga,Anhinga,2022,7130,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/66028931/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/66028931/320
grecor,NA,1,Phalacrocorax carbo,Great Cormorant,2022,7159,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/66026521/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/66026521/320
doccor,NA,198,Nannopterum auritum,Double-crested Cormorant,2022,7188,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/66027281/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/66027281/320
neocor,NA,12,Nannopterum brasilianum,Neotropic Cormorant,2022,7195,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304392981/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304392981/320
cormor1,NA,1,Phalacrocoracidae sp.,cormorant sp.,2022,7221,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/334479561/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/334479561/320
amwpel,NA,36,Pelecanus erythrorhynchos,American White Pelican,2022,7223,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304461551/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304461551/320
brnpel,NA,35,Pelecanus occidentalis,Brown Pelican,2022,7224,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304463771/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304463771/320
grwpel1,NA,2,Pelecanus onocrotalus,Great White Pelican,2022,7232,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/140480081/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/140480081/320
amebit,NA,9,Botaurus lentiginosus,American Bittern,2022,7249,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304465371/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304465371/320
leabit,NA,1,Ixobrychus exilis,Least Bittern,2022,7271,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304476671/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304476671/320
grbher3,NA,1386,Ardea herodias,Great Blue Heron,2022,7291,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304479371/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304479371/320
grbher,grbher3,624,Ardea herodias [herodias Group],Great Blue Heron (Great Blue),2022,7292,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/312869271/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/312869271/320
grwher,grbher3,31,Ardea herodias occidentalis,Great Blue Heron (Great White),2022,7297,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/54859431/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/54859431/320
wurher,grbher3,5,Ardea herodias wardi x occidentalis,Great Blue Heron (Wurdemann's),2022,7298,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/49120461/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/49120461/320
graher1,NA,1,Ardea cinerea,Gray Heron,2022,7299,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/254741801/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/254741801/320
greegr,NA,330,Ardea alba,Great Egret,2022,7323,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/70610211/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/70610211/320
greegr2,greegr,59,Ardea alba egretta,Great Egret (American),2022,7326,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/590686521/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/590686521/320
litegr,NA,4,Egretta garzetta,Little Egret,2022,7340,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/168489091/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/168489091/320
snoegr,NA,140,Egretta thula,Snowy Egret,2022,7352,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/70611061/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/70611061/320
libher,NA,139,Egretta caerulea,Little Blue Heron,2022,7356,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/70689401/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/70689401/320
x00615,NA,2,Egretta thula x caerulea,Snowy Egret x Little Blue Heron (hybrid),2022,7357,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/356830051/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/356830051/320
triher,NA,54,Egretta tricolor,Tricolored Heron,2022,7358,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304957351/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304957351/320
redegr,NA,1,Egretta rufescens,Reddish Egret,2022,7363,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/606669191/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/606669191/320
categr,NA,114,Bubulcus ibis,Cattle Egret,2022,7370,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304971031/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304971031/320
whiegr1,NA,4,Ardea/Egretta/Bubulcus sp.,white egret sp.,2022,7374,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/363024761/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/363024761/320
grnher,NA,122,Butorides virescens,Green Heron,2022,7384,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304980141/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304980141/320
grnher1,grnher,1,Butorides virescens virescens/bahamensis,Green Heron (virescens/bahamensis),2022,7385,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/563011861/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/563011861/320
bcnher,NA,32,Nycticorax nycticorax,Black-crowned Night-Heron,2022,7430,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304986701/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304986701/320
bkcnih2,bcnher,1,Nycticorax nycticorax hoactli,Black-crowned Night-Heron (American),2022,7432,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/435841561/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/435841561/320
ycnher,NA,29,Nyctanassa violacea,Yellow-crowned Night-Heron,2022,7444,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/70693871/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/70693871/320
y00610,NA,1,Nycticorax nycticorax/Nyctanassa violacea,Black-crowned/Yellow-crowned Night-Heron,2022,7453,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/82970271/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/82970271/320
heron1,NA,1,Ardeidae sp.,heron sp.,2022,7472,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203518941/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/203518941/320
whiibi,NA,313,Eudocimus albus,White Ibis,2022,7474,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/70694471/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/70694471/320
gloibi,NA,32,Plegadis falcinellus,Glossy Ibis,2022,7479,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/308505311/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/308505311/320
whfibi,NA,3,Plegadis chihi,White-faced Ibis,2022,7480,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/308512681/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/308512681/320
rosspo1,NA,13,Platalea ajaja,Roseate Spoonbill,2022,7540,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/311367261/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/311367261/320
blkvul,NA,968,Coragyps atratus,Black Vulture,2022,7546,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/305292761/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/305292761/320
turvul,NA,3245,Cathartes aura,Turkey Vulture,2022,7550,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/60317261/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/60317261/320
turvul2,turvul,26,Cathartes aura aura/septentrionalis,Turkey Vulture (Northern),2022,7551,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/89603641/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/89603641/320
vultur1,NA,55,Cathartidae sp.,new world vulture sp.,2022,7561,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/400276081/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/400276081/320
osprey,NA,326,Pandion haliaetus,Osprey,2022,7565,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/60320581/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/60320581/320
osprey1,osprey,5,Pandion haliaetus carolinensis,Osprey (carolinensis),2022,7567,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/175639871/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/175639871/320
bkskit1,NA,1,Elanus caeruleus,Black-winged Kite,2022,7575,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/168726691/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/168726691/320
whtkit,NA,61,Elanus leucurus,White-tailed Kite,2022,7582,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/70707541/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/70707541/320
hobkit,NA,1,Chondrohierax uncinatus,Hook-billed Kite,2022,7600,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/305346591/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/305346591/320
swtkit,NA,51,Elanoides forficatus,Swallow-tailed Kite,2022,7623,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/305351301/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/305351301/320
blheag1,NA,1,Spizaetus tyrannus,Black Hawk-Eagle,2022,7764,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/42451991/1800,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/42451991/320
