"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","taxonomy_version","taxonomic_sort_order"
"palwar5",NA,"2","Phylloscopus proregulus","Pallas's Leaf Warbler",2022,24276
"bushti",NA,"6101","Psaltriparus minimus","Bushtit",2022,24702
"bushti1","bushti","1","Psaltriparus minimus [minimus Group]","Bushtit (Pacific)",2022,24703
"bushti2","bushti","2","Psaltriparus minimus plumbeus","Bushtit (Interior)",2022,24709
"easwar1",NA,"1","Curruca cantillans","Eastern Subalpine Warbler",2022,24805
"wrenti",NA,"195","Chamaea fasciata","Wrentit",2022,24876
"swiwhe1",NA,"15","Zosterops simplex","Swinhoe's White-eye",2022,25063
"warwhe1",NA,"14","Zosterops japonicus","Warbling White-eye",2022,25074
"reblei",NA,"1","Leiothrix lutea","Red-billed Leiothrix",2022,25992
"ruckin",NA,"11733","Corthylio calendula","Ruby-crowned Kinglet",2022,26270
"gockin",NA,"5661","Regulus satrapa","Golden-crowned Kinglet",2022,26274
"y00425",NA,"15","Corthylio calendula/Regulus satrapa","Ruby-crowned/Golden-crowned Kinglet",2022,26281
"rebnut",NA,"43070","Sitta canadensis","Red-breasted Nuthatch",2022,26353
"whbnut",NA,"65167","Sitta carolinensis","White-breasted Nuthatch",2022,26356
"whbnut2","whbnut","10","Sitta carolinensis carolinensis","White-breasted Nuthatch (Eastern)",2022,26357
"pygnut",NA,"1865","Sitta pygmaea","Pygmy Nuthatch",2022,26368
"bnhnut",NA,"5107","Sitta pusilla","Brown-headed Nuthatch",2022,26376
"nuthat1",NA,"2","Sitta sp.","nuthatch sp.",2022,26423
"brncre",NA,"17909","Certhia americana","Brown Creeper",2022,26441
"buggna",NA,"1222","Polioptila caerulea","Blue-gray Gnatcatcher",2022,26546
"buggna1","buggna","13","Polioptila caerulea caerulea","Blue-gray Gnatcatcher (caerulea)",2022,26554
"bktgna",NA,"71","Polioptila melanura","Black-tailed Gnatcatcher",2022,26556
"calgna",NA,"6","Polioptila californica","California Gnatcatcher",2022,26560
"bkcgna",NA,"4","Polioptila nigriceps","Black-capped Gnatcatcher",2022,26564
"rocwre",NA,"123","Salpinctes obsoletus","Rock Wren",2022,26573
"rocwre1","rocwre","1","Salpinctes obsoletus [obsoletus Group]","Rock Wren (Northern)",2022,26574
"canwre",NA,"85","Catherpes mexicanus","Canyon Wren",2022,26607
"houwre",NA,"2814","Troglodytes aedon","House Wren",2022,26614
"houwre1","houwre","55","Troglodytes aedon [aedon Group]","House Wren (Northern)",2022,26615
"houwre4","houwre","3","Troglodytes aedon [musculus Group]","House Wren (Southern)",2022,26631
"pacwre1",NA,"841","Troglodytes pacificus","Pacific Wren",2022,26705
"winwre2","pacwre1","5","Troglodytes pacificus [pacificus Group]","Pacific Wren (pacificus Group)",2022,26715
"winwre3",NA,"1503","Troglodytes hiemalis","Winter Wren",2022,26721
"winwre",NA,"146","Troglodytes pacificus/hiemalis","Pacific/Winter Wren",2022,26724
"sedwre1",NA,"2","Cistothorus stellaris","Sedge Wren",2022,26729
"marwre",NA,"28","Cistothorus palustris","Marsh Wren",2022,26755
"marwre1","marwre","1","Cistothorus palustris [paludicola Group]","Marsh Wren (paludicola Group)",2022,26756
"marwre2","marwre","1","Cistothorus palustris [plesius Group]","Marsh Wren (plesius Group)",2022,26761
"marwre3","marwre","2","Cistothorus palustris [palustris Group]","Marsh Wren (palustris Group)",2022,26765
"carwre",NA,"38469","Thryothorus ludovicianus","Carolina Wren",2022,26774
"carwre1","carwre","1","Thryothorus ludovicianus [ludovicianus Group]","Carolina Wren (Northern)",2022,26775
"bewwre",NA,"5524","Thryomanes bewickii","Bewick's Wren",2022,26787
"bewwre3","bewwre","1","Thryomanes bewickii bewickii","Bewick's Wren (bewickii)",2022,26788
