"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","taxonomy_version","taxonomic_sort_order"
"bldspa","savspa","13","Passerculus sandwichensis [guttatus Group]","Savannah Sparrow (Belding's)",2022,32585
"savspa3","savspa","1","Passerculus sandwichensis sanctorum","Savannah Sparrow (San Benito)",2022,32590
"labspa","savspa","3","Passerculus sandwichensis rostratus/atratus","Savannah Sparrow (Large-billed)",2022,32591
"baispa",NA,"3","Centronyx bairdii","Baird's Sparrow",2022,32594
"henspa",NA,"5","Centronyx henslowii","Henslow's Sparrow",2022,32595
"sonspa",NA,"47095","Melospiza melodia","Song Sparrow",2022,32601
"sonspa2","sonspa","6","Melospiza melodia melodia/atlantica","Song Sparrow (melodia/atlantica)",2022,32602
"linspa",NA,"1629","Melospiza lincolnii","Lincoln's Sparrow",2022,32634
"swaspa",NA,"712","Melospiza georgiana","Swamp Sparrow",2022,32639
"rcgspa1",NA,"1","Melozone kieneri","Rusty-crowned Ground-Sparrow",2022,32650
"cantow",NA,"897","Melozone fusca","Canyon Towhee",2022,32654
"whttow1",NA,"1","Melozone albicollis","White-throated Towhee",2022,32665
"abetow",NA,"463","Melozone aberti","Abert's Towhee",2022,32668
"y00331",NA,"92","Melozone fusca/aberti","Canyon/Abert's Towhee",2022,32673
"caltow",NA,"3596","Melozone crissalis","California Towhee",2022,32674
"rucspa",NA,"263","Aimophila ruficeps","Rufous-crowned Sparrow",2022,32698
"gnttow",NA,"215","Pipilo chlorurus","Green-tailed Towhee",2022,32712
"spotow",NA,"9993","Pipilo maculatus","Spotted Towhee",2022,32713
"spotow1","spotow","6","Pipilo maculatus [oregonus Group]","Spotted Towhee (oregonus Group)",2022,32714
"spotow2","spotow","3","Pipilo maculatus [maculatus Group]","Spotted Towhee (maculatus Group)",2022,32723
"eastow",NA,"13698","Pipilo erythrophthalmus","Eastern Towhee",2022,32741
"eastow1","eastow","68","Pipilo erythrophthalmus erythrophthalmus/canaster","Eastern Towhee (Red-eyed)",2022,32742
"y00226",NA,"342","Pipilo maculatus/erythrophthalmus","Spotted/Eastern Towhee (Rufous-sided Towhee)",2022,32749
"towhee1",NA,"7","Melozone/Pipilo sp.","towhee sp.",2022,32758
"yegfin1",NA,"1","Atlapetes luteoviridis","Yellow-green Brushfinch",2022,32773
"sparro1",NA,"134","Passerellidae sp.","new world sparrow sp.",2022,32847
"yebcha",NA,"93","Icteria virens","Yellow-breasted Chat",2022,32887
"yebcha1","yebcha","3","Icteria virens virens","Yellow-breasted Chat (virens)",2022,32888
"yehbla",NA,"296","Xanthocephalus xanthocephalus","Yellow-headed Blackbird",2022,32891
"boboli",NA,"10","Dolichonyx oryzivorus","Bobolink",2022,32892
"wesmea",NA,"551","Sturnella neglecta","Western Meadowlark",2022,32893
"easmea",NA,"1010","Sturnella magna","Eastern Meadowlark",2022,32896
"easmea2","easmea","8","Sturnella magna [magna Group]","Eastern Meadowlark (Eastern)",2022,32898
"meadow",NA,"31","Sturnella neglecta/magna","Western/Eastern Meadowlark",2022,32914
"lilmea2",NA,"43","Sturnella lilianae","Chihuahuan Meadowlark",2022,32915
"y01183",NA,"3","Sturnella neglecta/lilianae","Western/Chihuahuan Meadowlark",2022,32918
"y01184",NA,"15","Sturnella magna/lilianae","Eastern/Chihuahuan Meadowlark",2022,32919
"stumea1",NA,"5","Sturnella sp.","Sturnella meadowlark sp.",2022,32920
"yewcac1",NA,"2","Cassiculus melanicterus","Yellow-winged Cacique",2022,32936
"bkvori",NA,"1","Icterus wagleri","Black-vented Oriole",2022,32996
"orcori",NA,"262","Icterus spurius","Orchard Oriole",2022,33003
"orcori2","orcori","1","Icterus spurius spurius","Orchard Oriole (Orchard)",2022,33004
"hooori",NA,"722","Icterus cucullatus","Hooded Oriole",2022,33006
"hooori1","hooori","1","Icterus cucullatus [nelsoni Group]","Hooded Oriole (nelsoni Group)",2022,33010
"y00488",NA,"4","Icterus spurius/cucullatus","Orchard/Hooded Oriole",2022,33015
"stbori",NA,"5","Icterus pustulatus","Streak-backed Oriole",2022,33048
"bulori",NA,"424","Icterus bullockii","Bullock's Oriole",2022,33060
"spbori",NA,"42","Icterus pectoralis","Spot-breasted Oriole",2022,33073
"altori",NA,"16","Icterus gularis","Altamira Oriole",2022,33076
"audori",NA,"23","Icterus graduacauda","Audubon's Oriole",2022,33083
"audori1","audori","1","Icterus graduacauda graduacauda/audubonii","Audubon's Oriole (Audubon's)",2022,33084
"balori",NA,"2044","Icterus galbula","Baltimore Oriole",2022,33091
"x00013",NA,"3","Icterus bullockii x galbula","Bullock's x Baltimore Oriole (hybrid)",2022,33092
"y00022",NA,"167","Icterus bullockii/galbula","Bullock's/Baltimore Oriole",2022,33093
"scoori",NA,"114","Icterus parisorum","Scott's Oriole",2022,33097
"oriole",NA,"12","Icterus sp.","new world oriole sp.",2022,33099
"rewbla",NA,"43346","Agelaius phoeniceus","Red-winged Blackbird",2022,33101
"rewbla1","rewbla","62","Agelaius phoeniceus [phoeniceus Group]","Red-winged Blackbird (Red-winged)",2022,33102
"rewbla2","rewbla","1","Agelaius phoeniceus californicus/mailliardorum","Red-winged Blackbird (California Bicolored)",2022,33124
"tribla",NA,"110","Agelaius tricolor","Tricolored Blackbird",2022,33131
"tasbla",NA,"1","Agelaius humeralis","Tawny-shouldered Blackbird",2022,33133
"shicow",NA,"20","Molothrus bonariensis","Shiny Cowbird",2022,33141
"brocow",NA,"162","Molothrus aeneus","Bronzed Cowbird",2022,33150
"bnhcow",NA,"35077","Molothrus ater","Brown-headed Cowbird",2022,33157
"y00336",NA,"12","Molothrus bonariensis/ater","Shiny/Brown-headed Cowbird",2022,33162
"y00337",NA,"28","Molothrus aeneus/ater","Bronzed/Brown-headed Cowbird",2022,33163
"rusbla",NA,"2076","Euphagus carolinus","Rusty Blackbird",2022,33172
"brebla",NA,"3989","Euphagus cyanocephalus","Brewer's Blackbird",2022,33175
"y00227",NA,"51","Euphagus carolinus/cyanocephalus","Rusty/Brewer's Blackbird",2022,33176
"comgra",NA,"43236","Quiscalus quiscula","Common Grackle",2022,33177
"comgra1","comgra","5","Quiscalus quiscula quiscula/stonei","Common Grackle (Purple)",2022,33178
"comgra2","comgra","1","Quiscalus quiscula versicolor","Common Grackle (Bronzed)",2022,33181
"botgra",NA,"2076","Quiscalus major","Boat-tailed Grackle",2022,33182
"botgra1","botgra","1","Quiscalus major major","Boat-tailed Grackle (major)",2022,33183
"botgra2","botgra","3","Quiscalus major torreyi/alabamensis","Boat-tailed Grackle (torreyi/alabamensis)",2022,33184
"grtgra",NA,"1697","Quiscalus mexicanus","Great-tailed Grackle",2022,33188
"grackl",NA,"14","Quiscalus sp.","grackle sp.",2022,33222
"oribla1",NA,"1","Gymnomystax mexicanus","Oriole Blackbird",2022,33230
"yewbla2",NA,"1","Agelasticus thilius","Yellow-winged Blackbird",2022,33254
"blackb",NA,"128","Icteridae sp.","blackbird sp.",2022,33267
"ovenbi1",NA,"253","Seiurus aurocapilla","Ovenbird",2022,33269
"woewar1",NA,"31","Helmitheros vermivorum","Worm-eating Warbler",2022,33273
"louwat",NA,"57","Parkesia motacilla","Louisiana Waterthrush",2022,33275
"norwat",NA,"14","Parkesia noveboracensis","Northern Waterthrush",2022,33276
"y00598",NA,"26","Parkesia motacilla/noveboracensis","Louisiana/Northern Waterthrush",2022,33277
"gowwar",NA,"4","Vermivora chrysoptera","Golden-winged Warbler",2022,33279
"buwwar",NA,"38","Vermivora cyanoptera","Blue-winged Warbler",2022,33280
"brewar",NA,"1","Vermivora chrysoptera x cyanoptera (F1 hybrid)","Brewster's Warbler (hybrid)",2022,33282
"bawwar",NA,"978","Mniotilta varia","Black-and-white Warbler",2022,33285
"prowar",NA,"95","Protonotaria citrea","Prothonotary Warbler",2022,33286
"swawar",NA,"11","Limnothlypis swainsonii","Swainson's Warbler",2022,33287
"tenwar",NA,"85","Leiothlypis peregrina","Tennessee Warbler",2022,33295
"orcwar",NA,"2941","Leiothlypis celata","Orange-crowned Warbler",2022,33296
"orcwar1","orcwar","28","Leiothlypis celata celata","Orange-crowned Warbler (celata)",2022,33298
"orcwar3","orcwar","1","Leiothlypis celata lutescens","Orange-crowned Warbler (lutescens)",2022,33300
"lucwar",NA,"73","Leiothlypis luciae","Lucy's Warbler",2022,33303
"naswar",NA,"248","Leiothlypis ruficapilla","Nashville Warbler",2022,33304
"naswar1","naswar","2","Leiothlypis ruficapilla ruficapilla","Nashville Warbler (ruficapilla)",2022,33305
"naswar2","naswar","1","Leiothlypis ruficapilla ridgwayi","Nashville Warbler (ridgwayi)",2022,33306
"virwar",NA,"11","Leiothlypis virginiae","Virginia's Warbler",2022,33309
"conwar",NA,"4","Oporornis agilis","Connecticut Warbler",2022,33313
"gycyel",NA,"1","Geothlypis poliocephala","Gray-crowned Yellowthroat",2022,33314
"macwar",NA,"15","Geothlypis tolmiei","MacGillivray's Warbler",2022,33327
"mouwar",NA,"1","Geothlypis philadelphia","Mourning Warbler",2022,33328
"kenwar",NA,"10","Geothlypis formosa","Kentucky Warbler",2022,33333
"comyel",NA,"517","Geothlypis trichas","Common Yellowthroat",2022,33348
"hoowar",NA,"85","Setophaga citrina","Hooded Warbler",2022,33377
"amered",NA,"130","Setophaga ruticilla","American Redstart",2022,33378
"kirwar",NA,"1","Setophaga kirtlandii","Kirtland's Warbler",2022,33379
"camwar",NA,"73","Setophaga tigrina","Cape May Warbler",2022,33380
"cerwar",NA,"16","Setophaga cerulea","Cerulean Warbler",2022,33381
"norpar",NA,"449","Setophaga americana","Northern Parula",2022,33383
"magwar",NA,"38","Setophaga magnolia","Magnolia Warbler",2022,33399
"babwar",NA,"22","Setophaga castanea","Bay-breasted Warbler",2022,33401
"bkbwar",NA,"30","Setophaga fusca","Blackburnian Warbler",2022,33402
"yelwar",NA,"624","Setophaga petechia","Yellow Warbler",2022,33404
"yelwar1","yelwar","3","Setophaga petechia [aestiva Group]","Yellow Warbler (Northern)",2022,33405
"yelwar2","yelwar","2","Setophaga petechia [petechia Group]","Yellow Warbler (Golden)",2022,33425
"chswar",NA,"25","Setophaga pensylvanica","Chestnut-sided Warbler",2022,33446
"bkpwar",NA,"45","Setophaga striata","Blackpoll Warbler",2022,33448
"btbwar",NA,"112","Setophaga caerulescens","Black-throated Blue Warbler",2022,33451
"palwar",NA,"980","Setophaga palmarum","Palm Warbler",2022,33458
"palwar3","palwar","18","Setophaga palmarum palmarum","Palm Warbler (Western)",2022,33459
"palwar4","palwar","37","Setophaga palmarum hypochrysea","Palm Warbler (Yellow)",2022,33460
"pinwar",NA,"7724","Setophaga pinus","Pine Warbler",2022,33463
"yerwar",NA,"14641","Setophaga coronata","Yellow-rumped Warbler",2022,33469
"myrwar","yerwar","502","Setophaga coronata coronata","Yellow-rumped Warbler (Myrtle)",2022,33470
"audwar","yerwar","184","Setophaga coronata auduboni","Yellow-rumped Warbler (Audubon's)",2022,33471
"yerwar3","yerwar","37","Setophaga coronata coronata x auduboni","Yellow-rumped Warbler (Myrtle x Audubon's)",2022,33472
"x00461",NA,"2","Setophaga palmarum x coronata","Palm x Yellow-rumped Warbler (hybrid)",2022,33477
"yetwar",NA,"896","Setophaga dominica","Yellow-throated Warbler",2022,33478
"yetwar1","yetwar","1","Setophaga dominica albilora","Yellow-throated Warbler (albilora)",2022,33479
"yetwar2","yetwar","1","Setophaga dominica dominica/stoddardi","Yellow-throated Warbler (dominica/stoddardi)",2022,33480
"prawar",NA,"187","Setophaga discolor","Prairie Warbler",2022,33490
"barwar",NA,"1","Setophaga subita","Barbuda Warbler",2022,33496
"grawar",NA,"4","Setophaga graciae","Grace's Warbler",2022,33498
"btywar",NA,"112","Setophaga nigrescens","Black-throated Gray Warbler",2022,33504
"towwar",NA,"2080","Setophaga townsendi","Townsend's Warbler",2022,33509
"x00624",NA,"1","Setophaga coronata x townsendi","Yellow-rumped x Townsend's Warbler (hybrid)",2022,33510
"herwar",NA,"24","Setophaga occidentalis","Hermit Warbler",2022,33513
"x00059",NA,"5","Setophaga townsendi x occidentalis","Townsend's x Hermit Warbler (hybrid)",2022,33514
"gchwar",NA,"18","Setophaga chrysoparia","Golden-cheeked Warbler",2022,33518
"btnwar",NA,"75","Setophaga virens","Black-throated Green Warbler",2022,33519
"rucwar",NA,"1","Basileuterus rufifrons","Rufous-capped Warbler",2022,33524
"gcrwar",NA,"1","Basileuterus culicivorus","Golden-crowned Warbler",2022,33548
"canwar",NA,"2","Cardellina canadensis","Canada Warbler",2022,33642
"wlswar",NA,"312","Cardellina pusilla","Wilson's Warbler",2022,33643
"wilwar1","wlswar","1","Cardellina pusilla pileolata","Wilson's Warbler (pileolata)",2022,33644
"wilwar2","wlswar","2","Cardellina pusilla pusilla","Wilson's Warbler (pusilla)",2022,33645
"wilwar3","wlswar","6","Cardellina pusilla chryseola","Wilson's Warbler (chryseola)",2022,33646
"refwar",NA,"1","Cardellina rubrifrons","Red-faced Warbler",2022,33647
"paired",NA,"14","Myioborus pictus","Painted Redstart",2022,33654
"warble",NA,"23","Parulidae sp.","new world warbler sp.",2022,33694
"heptan",NA,"11","Piranga flava","Hepatic Tanager",2022,33710
"sumtan",NA,"438","Piranga rubra","Summer Tanager",2022,33729
"scatan",NA,"138","Piranga olivacea","Scarlet Tanager",2022,33733
"westan",NA,"231","Piranga ludoviciana","Western Tanager",2022,33735
"flctan",NA,"1","Piranga bidentata","Flame-colored Tanager",2022,33738
"rehtan2",NA,"1","Piranga rubriceps","Red-hooded Tanager",2022,33753
"norcar",NA,"71948","Cardinalis cardinalis","Northern Cardinal",2022,33811
"norcar1","norcar","94","Cardinalis cardinalis [cardinalis Group]","Northern Cardinal (Common)",2022,33812
"pyrrhu",NA,"944","Cardinalis sinuatus","Pyrrhuloxia",2022,33831
"yelgro",NA,"5","Pheucticus chrysopeplus","Yellow Grosbeak",2022,33837
"robgro",NA,"2434","Pheucticus ludovicianus","Rose-breasted Grosbeak",2022,33853
"bkhgro",NA,"937","Pheucticus melanocephalus","Black-headed Grosbeak",2022,33855
"y00334",NA,"59","Pheucticus ludovicianus/melanocephalus","Rose-breasted/Black-headed Grosbeak",2022,33859
"blubun",NA,"10","Cyanocompsa parellina","Blue Bunting",2022,33890
"blugrb1",NA,"238","Passerina caerulea","Blue Grosbeak",2022,33895
"lazbun",NA,"136","Passerina amoena","Lazuli Bunting",2022,33903
"indbun",NA,"1096","Passerina cyanea","Indigo Bunting",2022,33904
"ixlbun",NA,"3","Passerina amoena x cyanea","Lazuli x Indigo Bunting (hybrid)",2022,33906
"orbbun1",NA,"2","Passerina leclancherii","Orange-breasted Bunting",2022,33909
"varbun",NA,"3","Passerina versicolor","Varied Bunting",2022,33912
"paibun",NA,"853","Passerina ciris","Painted Bunting",2022,33917
"dickci",NA,"155","Spiza americana","Dickcissel",2022,33923
"reccar",NA,"29","Paroaria coronata","Red-crested Cardinal",2022,33926
"yebcar",NA,"5","Paroaria capitata","Yellow-billed Cardinal",2022,33939
"tanage",NA,"5","Thraupidae sp. (tanager sp.)","tanager sp. (Thraupidae sp.)",2022,34521
"saffin",NA,"9","Sicalis flaveola","Saffron Finch",2022,34759
"yellow4",NA,"1","Sicalis sp.","yellow-finch sp.",2022,34777
"blbgra1",NA,"1","Volatinia jacarina","Blue-black Grassquit",2022,34792
"whcsee1",NA,"1","Sporophila morelleti","Morelet's Seedeater",2022,34856
"whcsee2",NA,"1","Sporophila torqueola","Cinnamon-rumped Seedeater",2022,34859
"whcsee",NA,"3","Sporophila morelleti/torqueola","Morelet's/Cinnamon-rumped Seedeater",2022,34862
"grasal2",NA,"1","Saltator grandis","Cinnamon-bellied Saltator",2022,35087
"passer1",NA,"1","Passeriformes sp.","passerine sp.",2022,35132
